instant,dteday,season,yr,mnth,temp,hum,registered,cnt
1,2011-01-01,Spring,0,Jan,0.344167,0.805833,654,985
2,2011-01-02,Spring,0,Jan,0.363478,0.696087,670,801
3,2011-01-03,Spring,0,Jan,0.196364,0.437273,1229,1349
4,2011-01-04,Spring,0,Jan,0.2,0.590435,1454,1562
5,2011-01-05,Spring,0,Jan,0.226957,0.436957,1518,1600
6,2011-01-06,Spring,0,Jan,0.204348,0.518261,1518,1606
7,2011-01-07,Spring,0,Jan,0.196522,0.498696,1362,1510
8,2011-01-08,Spring,0,Jan,0.165,0.535833,891,959
9,2011-01-09,Spring,0,Jan,0.138333,0.434167,768,822
10,2011-01-10,Spring,0,Jan,0.150833,0.482917,1280,1321
11,2011-01-11,Spring,0,Jan,0.169091,0.686364,1220,1263
12,2011-01-12,Spring,0,Jan,0.172727,0.599545,1137,1162
13,2011-01-13,Spring,0,Jan,0.165,0.470417,1368,1406
14,2011-01-14,Spring,0,Jan,0.16087,0.537826,1367,1421
15,2011-01-15,Spring,0,Jan,0.233333,0.49875,1026,1248
16,2011-01-16,Spring,0,Jan,0.231667,0.48375,953,1204
17,2011-01-17,Spring,0,Jan,0.175833,0.5375,883,1000
18,2011-01-18,Spring,0,Jan,0.216667,0.861667,674,683
19,2011-01-19,Spring,0,Jan,0.292174,0.741739,1572,1650
20,2011-01-20,Spring,0,Jan,0.261667,0.538333,1844,1927
21,2011-01-21,Spring,0,Jan,0.1775,0.457083,1468,1543
22,2011-01-22,Spring,0,Jan,0.0591304,0.4,888,981
23,2011-01-23,Spring,0,Jan,0.0965217,0.436522,836,986
24,2011-01-24,Spring,0,Jan,0.0973913,0.491739,1330,1416
25,2011-01-25,Spring,0,Jan,0.223478,0.616957,1799,1985
26,2011-01-26,Spring,0,Jan,0.2175,0.8625,472,506
27,2011-01-27,Spring,0,Jan,0.195,0.6875,416,431
28,2011-01-28,Spring,0,Jan,0.203478,0.793043,1129,1167
29,2011-01-29,Spring,0,Jan,0.196522,0.651739,975,1098
30,2011-01-30,Spring,0,Jan,0.216522,0.722174,956,1096
31,2011-01-31,Spring,0,Jan,0.180833,0.60375,1459,1501
32,2011-02-01,Spring,0,Feb,0.192174,0.829565,1313,1360
33,2011-02-02,Spring,0,Feb,0.26,0.775417,1454,1526
34,2011-02-03,Spring,0,Feb,0.186957,0.437826,1489,1550
35,2011-02-04,Spring,0,Feb,0.211304,0.585217,1620,1708
36,2011-02-05,Spring,0,Feb,0.233333,0.929167,905,1005
37,2011-02-06,Spring,0,Feb,0.285833,0.568333,1269,1623
38,2011-02-07,Spring,0,Feb,0.271667,0.738333,1592,1712
39,2011-02-08,Spring,0,Feb,0.220833,0.537917,1466,1530
40,2011-02-09,Spring,0,Feb,0.134783,0.494783,1552,1605
41,2011-02-10,Spring,0,Feb,0.144348,0.437391,1491,1538
42,2011-02-11,Spring,0,Feb,0.189091,0.506364,1597,1746
43,2011-02-12,Spring,0,Feb,0.2225,0.544167,1184,1472
44,2011-02-13,Spring,0,Feb,0.316522,0.457391,1192,1589
45,2011-02-14,Spring,0,Feb,0.415,0.375833,1705,1913
46,2011-02-15,Spring,0,Feb,0.266087,0.314348,1675,1815
47,2011-02-16,Spring,0,Feb,0.318261,0.423478,1897,2115
48,2011-02-17,Spring,0,Feb,0.435833,0.505,2216,2475
49,2011-02-18,Spring,0,Feb,0.521667,0.516667,2348,2927
50,2011-02-19,Spring,0,Feb,0.399167,0.187917,1103,1635
51,2011-02-20,Spring,0,Feb,0.285217,0.407826,1173,1812
52,2011-02-21,Spring,0,Feb,0.303333,0.605,912,1107
53,2011-02-22,Spring,0,Feb,0.182222,0.577778,1376,1450
54,2011-02-23,Spring,0,Feb,0.221739,0.423043,1778,1917
55,2011-02-24,Spring,0,Feb,0.295652,0.697391,1707,1807
56,2011-02-25,Spring,0,Feb,0.364348,0.712174,1341,1461
57,2011-02-26,Spring,0,Feb,0.2825,0.537917,1545,1969
58,2011-02-27,Spring,0,Feb,0.343478,0.68,1708,2402
59,2011-02-28,Spring,0,Feb,0.407273,0.876364,1365,1446
60,2011-03-01,Spring,0,Mar,0.266667,0.535,1714,1851
61,2011-03-02,Spring,0,Mar,0.335,0.449583,1903,2134
62,2011-03-03,Spring,0,Mar,0.198333,0.318333,1562,1685
63,2011-03-04,Spring,0,Mar,0.261667,0.610417,1730,1944
64,2011-03-05,Spring,0,Mar,0.384167,0.789167,1437,2077
65,2011-03-06,Spring,0,Mar,0.376522,0.948261,491,605
66,2011-03-07,Spring,0,Mar,0.261739,0.551304,1628,1872
67,2011-03-08,Spring,0,Mar,0.2925,0.420833,1817,2133
68,2011-03-09,Spring,0,Mar,0.295833,0.775417,1700,1891
69,2011-03-10,Spring,0,Mar,0.389091,0.0,577,623
70,2011-03-11,Spring,0,Mar,0.316522,0.649565,1730,1977
71,2011-03-12,Spring,0,Mar,0.329167,0.594583,1408,2132
72,2011-03-13,Spring,0,Mar,0.384348,0.527391,1435,2417
73,2011-03-14,Spring,0,Mar,0.325217,0.496957,1687,2046
74,2011-03-15,Spring,0,Mar,0.317391,0.655652,1767,2056
75,2011-03-16,Spring,0,Mar,0.365217,0.776522,1871,2192
76,2011-03-17,Spring,0,Mar,0.415,0.602917,2320,2744
77,2011-03-18,Spring,0,Mar,0.54,0.525217,2355,3239
78,2011-03-19,Spring,0,Mar,0.4725,0.379167,1693,3117
79,2011-03-20,Spring,0,Mar,0.3325,0.47375,1424,2471
